Date,Indonesia - National Average - Rice (medium quality) - Retail (Rupiah/Kg)
Sep-2010,6685.05
Oct-2010,6654.81
Nov-2010,6792.69
Dec-2010,7123.05
Jan-2011,7328.00
Feb-2011,7432.33
Mar-2011,7150.43
Apr-2011,7043.22
May-2011,7040.90
Jun-2011,7132.63
Jul-2011,7306.71
Aug-2011,7420.79
Sep-2011,7474.30
Oct-2011,7589.95
Nov-2011,7708.77
Dec-2011,7802.52
Jan-2012,8016.86
Feb-2012,8134.33
Mar-2012,8110.31
Apr-2012,7966.00
May-2012,7904.29
Jun-2012,7916.52
Jul-2012,7973.52
Aug-2012,8024.42
Sep-2012,8074.74
Oct-2012,8122.73
Nov-2012,8180.33
Dec-2012,8250.22
Jan-2013,8370.90
Feb-2013,8422.06
