Date,Kenya - Busia - Maize - Wholesale (USD/tonne)
Jun-2006,210.00
Jul-2006,206.00
Aug-2006,171.00
Sep-2006,140.00
Oct-2006,152.00
Nov-2006,155.00
Dec-2006,157.00
Jan-2007,160.00
Feb-2007,
Mar-2007,
Apr-2007,
May-2007,187.00
Jun-2007,182.00
Jul-2007,215.00
Aug-2007,198.00
Sep-2007,186.00
Oct-2007,192.00
Nov-2007,213.00
Dec-2007,222.00
Jan-2008,
Feb-2008,245.00
Mar-2008,286.00
Apr-2008,
May-2008,
Jun-2008,365.00
Jul-2008,370.00
Aug-2008,321.00
Sep-2008,359.00
Oct-2008,416.00
Nov-2008,411.00
Dec-2008,380.00
Jan-2009,
Feb-2009,
Mar-2009,456.00
Apr-2009,474.00
May-2009,477.00
Jun-2009,431.00
Jul-2009,405.00
Aug-2009,384.00
Sep-2009,390.00
Oct-2009,
Nov-2009,
Dec-2009,411.00
Jan-2010,
Feb-2010,263.00
