Date,Kenya - Nakuru - Maize - Wholesale (USD/tonne)
Jan-2008,172.00
Feb-2008,188.00
Mar-2008,215.00
Apr-2008,266.00
May-2008,327.00
Jun-2008,341.00
Jul-2008,336.00
Aug-2008,343.00
Sep-2008,326.00
Oct-2008,332.00
Nov-2008,322.00
Dec-2008,309.00
Jan-2009,288.00
Feb-2009,321.00
Mar-2009,353.00
Apr-2009,376.00
May-2009,405.00
Jun-2009,391.00
Jul-2009,376.00
Aug-2009,422.00
Sep-2009,344.00
Oct-2009,341.00
Nov-2009,343.00
Dec-2009,336.00
Jan-2010,339.00
Feb-2010,326.00
Mar-2010,275.00
Apr-2010,253.00
May-2010,230.00
Jun-2010,214.00
Jul-2010,198.00
Aug-2010,171.00
Sep-2010,168.00
Oct-2010,160.00
Nov-2010,173.00
Dec-2010,178.00
Jan-2011,179.00
Feb-2011,228.00
Mar-2011,248.00
Apr-2011,293.00
May-2011,360.00
Jun-2011,434.00
Jul-2011,460.00
Aug-2011,403.00
Sep-2011,351.00
Oct-2011,308.00
Nov-2011,339.00
Dec-2011,386.00
Jan-2012,376.00
Feb-2012,339.00
Mar-2012,365.00
Apr-2012,416.00
May-2012,434.00
Jun-2012,438.00
Jul-2012,454.00
Aug-2012,426.00
Sep-2012,393.00
Oct-2012,369.00
Nov-2012,340.00
Dec-2012,319.00
Jan-2013,345.00
Feb-2013,332.00
Mar-2013,348.00
