"Crop","Type","Source","Currency","Unit","Year","Month","Week Ending On", "Price", "Unknown_Number"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","January  ","01.01.2010","168.10","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","January  ","08.01.2010","175.49","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","January  ","15.01.2010","168.50","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","January  ","22.01.2010","162.30","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","January  ","29.01.2010","160.13","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","February ","05.02.2010","162.59","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","February ","12.02.2010","160.62","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","February ","19.02.2010","162.89","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","February ","26.02.2010","163.28","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","March    ","05.03.2010","164.95","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","March    ","12.03.2010","158.85","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","March    ","19.03.2010","157.18","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","March    ","26.03.2010","156.59","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","April    ","02.04.2010","154.92","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","April    ","09.04.2010","152.95","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","April    ","16.04.2010","155.70","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","April    ","23.04.2010","158.26","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","April    ","30.04.2010","156.49","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","May      ","07.05.2010","162.00","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","May      ","14.05.2010","167.32","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","May      ","21.05.2010","161.12","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","May      ","28.05.2010","161.71","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","June     ","04.06.2010","156.10","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","June     ","11.06.2010","149.70","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","June     ","18.06.2010","154.23","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","June     ","25.06.2010","154.13","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","July     ","02.07.2010","147.04","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","July     ","09.07.2010","160.43","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","July     ","16.07.2010","164.86","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","July     ","23.07.2010","161.02","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","July     ","30.07.2010","155.21","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","August   ","06.08.2010","166.53","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","August   ","13.08.2010","165.74","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","August   ","20.08.2010","180.80","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","August   ","27.08.2010","176.67","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","September","03.09.2010","180.80","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","September","10.09.2010","196.15","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","September","17.09.2010","209.24","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","September","24.09.2010","206.78","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","October  ","01.10.2010","211.61","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","October  ","08.10.2010","212.39","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","October  ","15.10.2010","248.22","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","October  ","22.10.2010","235.42","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","October  ","29.10.2010","248.22","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","November ","05.11.2010","248.12","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","November ","12.11.2010","245.76","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","November ","19.11.2010","227.75","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","November ","26.11.2010","228.53","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","December ","03.12.2010","230.70","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","December ","10.12.2010","240.05","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","December ","17.12.2010","250.68","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","December ","24.12.2010","255.21","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2010","December ","31.12.2010","261.90","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","January  ","07.01.2011","254.32","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","January  ","14.01.2011","254.12","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","January  ","21.01.2011","273.61","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","January  ","28.01.2011","269.28","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","February ","04.02.2011","281.29","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","February ","11.02.2011","283.35","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","February ","18.02.2011","293.30","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","February ","25.02.2011","290.64","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","March    ","04.03.2011","310.22","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","March    ","11.03.2011","297.82","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","March    ","18.03.2011","270.46","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","March    ","25.03.2011","290.05","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","April    ","01.04.2011","284.34","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","April    ","08.04.2011","323.90","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","April    ","15.04.2011","319.28","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","April    ","22.04.2011","316.72","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","April    ","29.04.2011","326.07","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","May      ","06.05.2011","306.98","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","May      ","13.05.2011","300.28","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","May      ","20.05.2011","306.98","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","May      ","27.05.2011","312.29","2302"
"Maize","US No.2, Yellow, U.S. Gulf  (Friday)","USDA","US$","Ton","2011","June     ","03.06.2011","318.29","2302"
